stim,correct_key,set_size,block,img_folder,condition,period,iteration
1,0,12,1,3,13,1,1
2,0,12,1,3,13,1,1
3,2,12,1,3,13,1,1
4,2,12,1,3,13,1,1
5,2,12,1,3,13,1,1
6,0,12,1,3,13,1,1
7,1,12,1,3,13,1,1
8,2,12,1,3,13,1,1
9,1,12,1,3,13,1,1
10,0,12,1,3,13,1,1
11,0,12,1,3,13,1,1
12,1,12,1,3,13,1,1
9,1,12,1,3,13,1,2
6,0,12,1,3,13,1,2
12,1,12,1,3,13,1,2
4,2,12,1,3,13,1,2
10,0,12,1,3,13,1,2
3,2,12,1,3,13,1,2
6,0,12,1,3,13,1,3
1,0,12,1,3,13,1,2
5,2,12,1,3,13,1,2
2,0,12,1,3,13,1,2
7,1,12,1,3,13,1,2
11,0,12,1,3,13,1,2
8,2,12,1,3,13,1,2
10,0,12,1,3,13,1,3
9,1,12,1,3,13,1,3
3,2,12,1,3,13,1,3
7,1,12,1,3,13,1,3
7,1,12,1,3,13,1,4
1,0,12,1,3,13,1,3
5,2,12,1,3,13,1,3
12,1,12,1,3,13,1,3
11,0,12,1,3,13,1,3
12,1,12,1,3,13,1,4
4,2,12,1,3,13,1,3
2,0,12,1,3,13,1,3
8,2,12,1,3,13,1,3
8,2,12,1,3,13,1,4
6,0,12,1,3,13,1,4
5,2,12,1,3,13,1,4
4,2,12,1,3,13,1,4
10,0,12,1,3,13,1,4
2,0,12,1,3,13,1,4
1,0,12,1,3,13,1,4
11,0,12,1,3,13,1,4
3,2,12,1,3,13,1,4
9,1,12,1,3,13,1,4
1,0,12,1,3,13,2,5
2,0,12,1,3,13,2,5
3,2,12,1,3,13,2,5
4,2,12,1,3,13,2,5
5,2,12,1,3,13,2,5
6,0,12,1,3,13,2,5
7,1,12,1,3,13,2,5
8,2,12,1,3,13,2,5
9,1,12,1,3,13,2,5
10,0,12,1,3,13,2,5
11,0,12,1,3,13,2,5
12,1,12,1,3,13,2,5
3,2,12,1,3,13,2,6
11,0,12,1,3,13,2,6
2,0,12,1,3,13,2,6
4,2,12,1,3,13,2,6
12,1,12,1,3,13,2,6
1,0,12,1,3,13,2,6
8,2,12,1,3,13,2,6
6,0,12,1,3,13,2,6
5,2,12,1,3,13,2,6
7,1,12,1,3,13,2,6
5,2,12,1,3,13,2,7
6,0,12,1,3,13,2,7
1,0,12,1,3,13,2,7
10,0,12,1,3,13,2,6
9,1,12,1,3,13,2,6
7,1,12,1,3,13,2,7
10,0,12,1,3,13,2,7
4,2,12,1,3,13,2,7
4,2,12,1,3,13,2,8
3,2,12,1,3,13,2,7
6,0,12,1,3,13,2,8
11,0,12,1,3,13,2,7
9,1,12,1,3,13,2,7
2,0,12,1,3,13,2,7
8,2,12,1,3,13,2,7
12,1,12,1,3,13,2,7
10,0,12,1,3,13,2,8
11,0,12,1,3,13,2,8
7,1,12,1,3,13,2,8
1,0,12,1,3,13,2,8
2,0,12,1,3,13,2,8
9,1,12,1,3,13,2,8
5,2,12,1,3,13,2,8
12,1,12,1,3,13,2,8
3,2,12,1,3,13,2,8
8,2,12,1,3,13,2,8
1,0,12,2,2,3,1,1
2,0,12,2,2,3,1,1
3,2,12,2,2,3,1,1
1,0,12,2,2,3,1,2
2,0,12,2,2,3,1,2
3,2,12,2,2,3,1,2
1,0,12,2,2,3,1,3
2,0,12,2,2,3,1,3
3,2,12,2,2,3,1,3
1,0,12,2,2,3,1,4
2,0,12,2,2,3,1,4
3,2,12,2,2,3,1,4
4,2,12,2,2,3,1,1
5,2,12,2,2,3,1,1
6,0,12,2,2,3,1,1
4,2,12,2,2,3,1,2
5,2,12,2,2,3,1,2
6,0,12,2,2,3,1,2
4,2,12,2,2,3,1,3
5,2,12,2,2,3,1,3
6,0,12,2,2,3,1,3
4,2,12,2,2,3,1,4
5,2,12,2,2,3,1,4
6,0,12,2,2,3,1,4
7,1,12,2,2,3,1,1
8,2,12,2,2,3,1,1
9,1,12,2,2,3,1,1
7,1,12,2,2,3,1,2
8,2,12,2,2,3,1,2
9,1,12,2,2,3,1,2
7,1,12,2,2,3,1,3
8,2,12,2,2,3,1,3
9,1,12,2,2,3,1,3
7,1,12,2,2,3,1,4
8,2,12,2,2,3,1,4
9,1,12,2,2,3,1,4
10,0,12,2,2,3,1,1
11,0,12,2,2,3,1,1
12,1,12,2,2,3,1,1
10,0,12,2,2,3,1,2
11,0,12,2,2,3,1,2
12,1,12,2,2,3,1,2
10,0,12,2,2,3,1,3
11,0,12,2,2,3,1,3
12,1,12,2,2,3,1,3
10,0,12,2,2,3,1,4
11,0,12,2,2,3,1,4
12,1,12,2,2,3,1,4
1,0,12,2,2,3,2,5
2,0,12,2,2,3,2,5
3,2,12,2,2,3,2,5
4,2,12,2,2,3,2,5
5,2,12,2,2,3,2,5
6,0,12,2,2,3,2,5
7,1,12,2,2,3,2,5
8,2,12,2,2,3,2,5
9,1,12,2,2,3,2,5
10,0,12,2,2,3,2,5
11,0,12,2,2,3,2,5
12,1,12,2,2,3,2,5
7,1,12,2,2,3,2,6
2,0,12,2,2,3,2,6
1,0,12,2,2,3,2,6
6,0,12,2,2,3,2,6
6,0,12,2,2,3,2,7
10,0,12,2,2,3,2,6
8,2,12,2,2,3,2,6
3,2,12,2,2,3,2,6
5,2,12,2,2,3,2,6
9,1,12,2,2,3,2,6
4,2,12,2,2,3,2,6
9,1,12,2,2,3,2,7
10,0,12,2,2,3,2,7
11,0,12,2,2,3,2,6
4,2,12,2,2,3,2,7
12,1,12,2,2,3,2,6
3,2,12,2,2,3,2,7
7,1,12,2,2,3,2,7
11,0,12,2,2,3,2,7
2,0,12,2,2,3,2,7
5,2,12,2,2,3,2,7
8,2,12,2,2,3,2,7
1,0,12,2,2,3,2,7
12,1,12,2,2,3,2,7
8,2,12,2,2,3,2,8
6,0,12,2,2,3,2,8
5,2,12,2,2,3,2,8
3,2,12,2,2,3,2,8
12,1,12,2,2,3,2,8
2,0,12,2,2,3,2,8
9,1,12,2,2,3,2,8
1,0,12,2,2,3,2,8
11,0,12,2,2,3,2,8
10,0,12,2,2,3,2,8
4,2,12,2,2,3,2,8
7,1,12,2,2,3,2,8
